書名,書籍網站,作者,出版社,ISBN,圖片網址
餐廳酒吧設計：人氣設計師的餐飲空間美學,https://www.kingstone.com.tw//basic/2014410154619?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,漂亮家居,麥浩斯    ,9789864083077,https://cdn.kingstone.com.tw/book/images/product/20144/2014410154619/2014410154619b.jpg
好旅館默默在做的事：設計大師眼中最關鍵的37個條件,https://www.kingstone.com.tw//basic/2019920456239?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,張智強,商業周刊  ,9789869373388,https://cdn.kingstone.com.tw/book/images/product/20199/2019920456239/2019920456239b.jpg
全球旅店空間設計趨勢,https://www.kingstone.com.tw//basic/2029920417116?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,方船山、吳秋瓊、林宜慧、林珮芸,宇思文化  ,9789868921924,https://cdn.kingstone.com.tw/book/images/product/20299/2029920417116/2029920417116b.jpg
設計師不傳的私房秘技 吃喝。小店空間設計500,https://www.kingstone.com.tw//basic/2014220076446?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,漂亮家居編輯部,麥浩斯    ,9789864080618,https://cdn.kingstone.com.tw/book/images/product/20142/2014220076446/2014220076446b.jpg
走進北歐咖啡館：從咖啡館到餐廳、旅店，見識新世代的空間新設計&開店綠思維,https://www.kingstone.com.tw//basic/2019670074813?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,李始恩,原點      ,9789865657543,https://cdn.kingstone.com.tw/book/images/product/20196/2019670074813/2019670074813b.jpg
國際中文版 食飲空間 Cafe & Restaurant Interior World vol.84,https://www.kingstone.com.tw//basic/2019670074103?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,Archiworld Co.- Ltd,維他命    ,9789865786403,https://cdn.kingstone.com.tw/book/images/product/20196/2019670074103/2019670074103b.jpg
北歐生活小店不思議：給開店的你，最夯的36種創意亮點、空間設計和行銷理念,https://www.kingstone.com.tw//basic/2019670073991?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,李始恩,原點      ,9789865657178,https://cdn.kingstone.com.tw/book/images/product/20196/2019670073991/2019670073991b.jpg
大師如何設計：最完美住宅照明,https://www.kingstone.com.tw//basic/2014220065617?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,EOS plus (遠藤和 高橋翔),瑞昇文化  ,9789865749132,https://cdn.kingstone.com.tw/book/images/product/20142/2014220065617/2014220065617b.jpg
周靖雅混搭新主張,https://www.kingstone.com.tw//basic/2019670067112?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,周靖雅,幸福空間  ,9789868771123,https://cdn.kingstone.com.tw/book/images/product/20196/2019670067112/2019670067112b.jpg
空間設計 Space Design,https://www.kingstone.com.tw//basic/2019670066610?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,建築世界,漢皇國際  ,9789866590740,https://cdn.kingstone.com.tw/book/images/product/20196/2019670066610/2019670066610b.jpg
金瓜石太子賓館,https://www.kingstone.com.tw//basic/2019280007102?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,黃金博物園區,黃金博物館,9789860279344,https://cdn.kingstone.com.tw/book/images/product/20192/2019280007102/2019280007102b.jpg
NEW SPACE ： SPA溫泉 & 休閒娛樂,https://www.kingstone.com.tw//basic/2019670061660?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,Archiworld Co.-Ltd,漢皇國際  ,9789866590726,https://cdn.kingstone.com.tw/book/images/product/20196/2019670061660/2019670061660b.jpg
NEW SPACE 5： 閱覽空間 & 公共場所,https://www.kingstone.com.tw//basic/2019670061530?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,建築世界,漢皇國際  ,9789866590696,https://cdn.kingstone.com.tw/book/images/product/20196/2019670061530/2019670061530b.jpg
NEW SPACE：餐廳&酒吧,https://www.kingstone.com.tw//basic/2019670060328?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,建築世界,漢皇國際  ,9789866590719,https://cdn.kingstone.com.tw/book/images/product/20196/2019670060328/2019670060328b.jpg
百貨公司的內裝設計,https://www.kingstone.com.tw//basic/2019670054389?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,陳德貴,新形象出版,9789572035962,https://cdn.kingstone.com.tw/book/images/product/20196/2019670054389/2019670054389b.jpg
觀光旅館設計,https://www.kingstone.com.tw//basic/2029920196547?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,新形象出版,"

立即結帳
",9789578548749,https://cdn.kingstone.com.tw/book/images/product/20299/2029920196547/2029920196547b.jpg
店面設計入門,https://www.kingstone.com.tw//basic/2014970027521?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,志田慣平,新形象出版,9789579679350,https://cdn.kingstone.com.tw/book/images/product/20149/2014970027521/2014970027521b.jpg
流行餐飲店設計,https://www.kingstone.com.tw//basic/2019670044052?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,深山葛明,新形象出版,9789579679435,https://cdn.kingstone.com.tw/book/images/product/20196/2019670044052/2019670044052b.jpg
流行店面設計,https://www.kingstone.com.tw//basic/2019670043550?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,深山葛明,新形象出版,9789579679251,https://cdn.kingstone.com.tw/book/images/product/20196/2019670043550/2019670043550b.jpg
平面廣告設計,https://www.kingstone.com.tw//basic/2019620003962?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,何耀宗,雄獅圖書  ,9789579420365,https://cdn.kingstone.com.tw/book/images/product/20196/2019620003962/2019620003962b.jpg
裝置藝術好犀利：依據品牌、商家特性、節性氛圍，打造獨特視覺空間,https://www.kingstone.com.tw//basic/2019600066024?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,善本出版有限公司,有意思    ,9789865003777,https://cdn.kingstone.com.tw/book/images/product/20196/2019600066024/2019600066024b.jpg
2018空間設計聖經,https://www.kingstone.com.tw//basic/2014220094006?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,住宅美學編輯部,品客國際  ,9789869589819,https://cdn.kingstone.com.tw/book/images/product/20142/2014220094006/2014220094006b.jpg
咖啡創業人必讀好設計.開創夢想咖啡店全系列：好設計咖啡店就成功一半+迷你咖啡店,https://www.kingstone.com.tw//basic/2014830063225?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,SH美化家庭編輯部,風和文創  ,4712977741843,https://cdn.kingstone.com.tw/book/images/product/20148/2014830063225/2014830063225b.jpg
現代「極簡」空間設計：6大案例類別‧59個案例‧53間世界頂尖設計事務所,https://www.kingstone.com.tw//basic/2019670079283?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,度本圖書,更生文化  ,9789869276955,https://cdn.kingstone.com.tw/book/images/product/20196/2019670079283/2019670079283b.jpg
餐飲空間設計聖經,https://www.kingstone.com.tw//basic/2014220082935?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,漂亮家居編輯部,麥浩斯    ,9789864082001,https://cdn.kingstone.com.tw/book/images/product/20142/2014220082935/2014220082935b.jpg
圖解日式茶室設計：110個重要觀念與表現手法，創造風格獨具、用心領略的品茶空間,https://www.kingstone.com.tw//basic/2019230029970?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,桐浴邦夫,易博士    ,9789866434969,https://cdn.kingstone.com.tw/book/images/product/20192/2019230029970/2019230029970b.jpg
TOP室內設計時尚店舖 Fashion Shop,https://www.kingstone.com.tw//basic/2019670076787?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,國際最新室內設計編寫組,有意思    ,9789863755715,https://cdn.kingstone.com.tw/book/images/product/20196/2019670076787/2019670076787b.jpg
商用空間解剖圖鑑,https://www.kingstone.com.tw//basic/2019640098221?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,高橋哲史,楓書坊文化,9789863770923,https://cdn.kingstone.com.tw/book/images/product/20196/2019640098221/2019640098221b.jpg
FRASHION Shop：時尚店鋪設計,https://www.kingstone.com.tw//basic/2019670072789?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,國際最新室內設計編寫組,拓客（上奇,9789863751250,https://cdn.kingstone.com.tw/book/images/product/20196/2019670072789/2019670072789b.jpg
INSPIRING Office：創意辦公空間,https://www.kingstone.com.tw//basic/2019670072109?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,國際最新室內設計 編寫組,拓客（上奇,9789863750949,https://cdn.kingstone.com.tw/book/images/product/20196/2019670072109/2019670072109b.jpg
打造夢想麵包屋：從委託到完成，建築家與麵包師傅的書信往來,https://www.kingstone.com.tw//basic/2014410139395?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,中村好文、神幸紀,一起來出版,9789869093422,https://cdn.kingstone.com.tw/book/images/product/20144/2014410139395/2014410139395b.jpg
UNIQUE Restaurant：風格餐廳設計,https://www.kingstone.com.tw//basic/2014220069615?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,國際最新室內設計編寫組,拓客（上奇,9789863750130,https://cdn.kingstone.com.tw/book/images/product/20142/2014220069615/2014220069615b.jpg
風格牆設計：照片、飾品、瓷器、織品、藝術品，將心愛的收藏擺進你的生活，享受佈置家的愉悅,https://www.kingstone.com.tw//basic/2014220063033?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,潔拉汀．詹姆斯,麥浩斯    ,9789865802370,https://cdn.kingstone.com.tw/book/images/product/20142/2014220063033/2014220063033b.jpg
臺灣in機場─桃園國際機場候機室的14種漫遊方式,https://www.kingstone.com.tw//basic/2014470108140?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,LaVie,麥浩斯    ,9789865932879,https://cdn.kingstone.com.tw/book/images/product/20144/2014470108140/2014470108140b.jpg
品牌概念店：全球頂尖時尚空間風格巡禮,https://www.kingstone.com.tw//basic/2019640088154?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,歐利維耶．傑瓦爾,一起來出版,9789868811188,https://cdn.kingstone.com.tw/book/images/product/20196/2019640088154/2019640088154b.jpg
好感辦公室：不論員工或老闆都能參與改造，創造綠色、健康、家感覺的辦公室,https://www.kingstone.com.tw//basic/2019670062582?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,林黛羚,自由之丘  ,9789868835900,https://cdn.kingstone.com.tw/book/images/product/20196/2019670062582/2019670062582b.jpg
微空間大設計2：全球40家小坪數咖啡廳與餐廳的獨創設計,https://www.kingstone.com.tw//basic/2019640085948?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,約翰．史東斯,三采      ,9789862296219,https://cdn.kingstone.com.tw/book/images/product/20196/2019640085948/2019640085948b.jpg
設計師不傳的私房學：餐廳設計518,https://www.kingstone.com.tw//basic/2014220048689?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,金版文化,和平國際  ,9789866209963,https://cdn.kingstone.com.tw/book/images/product/20142/2014220048689/2014220048689b.jpg
NEW SPACE 2：HOTEL 飯店,https://www.kingstone.com.tw//basic/2019670060168?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,建築世界,漢皇國際  ,9789866590733,https://cdn.kingstone.com.tw/book/images/product/20196/2019670060168/2019670060168b.jpg
台灣設計風格旅店,https://www.kingstone.com.tw//basic/2019210015559?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,La Vie編輯部,麥浩斯    ,9789866086014,https://cdn.kingstone.com.tw/book/images/product/20192/2019210015559/2019210015559b.jpg
光．建築：設計大師的空間照明手法,https://www.kingstone.com.tw//basic/2014220042007?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,日本照明協會,尖端      ,9789571044934,https://cdn.kingstone.com.tw/book/images/product/20142/2014220042007/2014220042007b.jpg
巴黎創意辦公室,https://www.kingstone.com.tw//basic/2019670059049?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,Editions de Paris編,木馬文化  ,9789861205588,https://cdn.kingstone.com.tw/book/images/product/20196/2019670059049/2019670059049b.jpg
時尚中國設計旅店,https://www.kingstone.com.tw//basic/2019220016249?zone=book&lid=book_class3_ogi&actid=book_class3_ogi,La Vie編輯部,麥浩斯    ,9789866322242,https://cdn.kingstone.com.tw/book/images/product/20192/2019220016249/2019220016249b.jpg
