書名,書籍網站,作者,出版社,ISBN,圖片網址
揭開Maya使用Mental Ray渲染的面紗,https://www.kingstone.com.tw//basic/2013120347601?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,陳路石,上奇科技  ,9789863754527,https://cdn.kingstone.com.tw/book/images/product/20131/2013120347601/2013120347601b.jpg
Maya 3D動態筆記：活化角色流暢的關鍵技巧,https://www.kingstone.com.tw//basic/2013120260160?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,劉怡君,博碩文化  ,9789862017395,https://cdn.kingstone.com.tw/book/images/product/20131/2013120260160/2013120260160b.jpg
Maya材質動素解碼,https://www.kingstone.com.tw//basic/2014713338181?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,馬奇克數位工作室,易習圖書  ,9789866025501,https://cdn.kingstone.com.tw/book/images/product/20147/2014713338181/2014713338181b.jpg
Maya 3D擬真視覺藝術表現（範例適用2012/2011/2010，附20段基礎功能教學影片、實作範例檔）,https://www.kingstone.com.tw//basic/2014713307538?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,陳啟耀,碁峰資訊  ,9789862763353,https://cdn.kingstone.com.tw/book/images/product/20147/2014713307538/2014713307538b.jpg
Maya 2012動畫製作密技,https://www.kingstone.com.tw//basic/2014713303530?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,蔡龍華,易習圖書  ,9789866025082,https://cdn.kingstone.com.tw/book/images/product/20147/2014713303530/2014713303530b.jpg
舞動MAYA 2010動畫製作（附VCD）,https://www.kingstone.com.tw//basic/2014713190185?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,王國華,知城      ,9789866551734,https://cdn.kingstone.com.tw/book/images/product/20147/2014713190185/2014713190185b.jpg
Maya材質動素解碼,https://www.kingstone.com.tw//basic/2014713080417?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,馬奇克數位,知城      ,9789866850738,https://cdn.kingstone.com.tw/book/images/product/20147/2014713080417/2014713080417b.jpg
Maya 2008 動畫製作實戰演練,https://www.kingstone.com.tw//basic/2014713023001?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,elearningDJ,知城      ,9789866850646,https://cdn.kingstone.com.tw/book/images/product/20147/2014713023001/2014713023001b.jpg
Master of SketchUp職人之路,https://www.kingstone.com.tw//basic/2019670086434?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,Zeus轡鴻,深石數位  ,9789865004170,https://cdn.kingstone.com.tw/book/images/product/20196/2019670086434/2019670086434b.jpg
MAYA動漫風(Step by Step)建模技法(書+光碟不分售),https://www.kingstone.com.tw//basic/2013120488052?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳旻書、蔡佳君,輕刻      ,9789863797173,https://cdn.kingstone.com.tw/book/images/product/20131/2013120488052/2013120488052b.jpg
自己動手做主角,https://www.kingstone.com.tw//basic/2013120482050?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳旻書,佳魁      ,9789863796985,https://cdn.kingstone.com.tw/book/images/product/20131/2013120482050/2013120482050b.jpg
Maya終極密碼 -2017以上版本適用,https://www.kingstone.com.tw//basic/2013120450295?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,楊欣儒,拓客（上奇,9789865000394,https://cdn.kingstone.com.tw/book/images/product/20131/2013120450295/2013120450295b.jpg
輕鬆搞定－MAYA實用技法不NG,https://www.kingstone.com.tw//basic/2013120419735?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,夢德,佳魁      ,9789863794653,https://cdn.kingstone.com.tw/book/images/product/20131/2013120419735/2013120419735b.jpg
化腐朽為神奇：MAYA 3D動畫X建模實用技法大公開,https://www.kingstone.com.tw//basic/2013120370418?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳旻書,佳魁      ,9789863792772,https://cdn.kingstone.com.tw/book/images/product/20131/2013120370418/2013120370418b.jpg
MAYA動畫製作技法實務解析,https://www.kingstone.com.tw//basic/2013120363267?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,盧俊諺,佳魁      ,9789863792468,https://cdn.kingstone.com.tw/book/images/product/20131/2013120363267/2013120363267b.jpg
用Mental Ray創造Maya的影像藝術,https://www.kingstone.com.tw//basic/2013120347731?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,蘇懷旭,上奇科技  ,9789863754534,https://cdn.kingstone.com.tw/book/images/product/20131/2013120347731/2013120347731b.jpg
化繁為簡—MAYA實用技法大進擊,https://www.kingstone.com.tw//basic/2013120312760?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,夢德,佳魁      ,9789865712860,https://cdn.kingstone.com.tw/book/images/product/20131/2013120312760/2013120312760b.jpg
MAYA x Mudbox：燈光渲染與演算精粹,https://www.kingstone.com.tw//basic/2013120284432?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,王以斌(編著),佳魁      ,9789865712044,https://cdn.kingstone.com.tw/book/images/product/20131/2013120284432/2013120284432b.jpg
MAYA角色動作設計技巧實例解析,https://www.kingstone.com.tw//basic/2013120282988?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳旻書,佳魁      ,9789865764784,https://cdn.kingstone.com.tw/book/images/product/20131/2013120282988/2013120282988b.jpg
Maya2014特效製作範例剖析,https://www.kingstone.com.tw//basic/2013120277601?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,滕金紘、賴芳延,佳魁      ,9789865764692,https://cdn.kingstone.com.tw/book/images/product/20131/2013120277601/2013120277601b.jpg
Maya動畫技法大揭密,https://www.kingstone.com.tw//basic/2013120279575?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,盧俊諺,佳魁      ,9789865764524,https://cdn.kingstone.com.tw/book/images/product/20131/2013120279575/2013120279575b.jpg
Maya2014動畫製作範例剖析,https://www.kingstone.com.tw//basic/2013120278363?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,滕金紘、賴芳延,佳魁      ,9789865764661,https://cdn.kingstone.com.tw/book/images/product/20131/2013120278363/2013120278363b.jpg
Maya.揭開Mental Ray材質與渲染的面紗,https://www.kingstone.com.tw//basic/2013120272811?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,陳路石,上奇科技  ,9789862579305,https://cdn.kingstone.com.tw/book/images/product/20131/2013120272811/2013120272811b.jpg
Maya 3D武打動畫超簡單輕鬆做(第二版),https://www.kingstone.com.tw//basic/2013120272071?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,白乃遠,上奇科技  ,9789862579411,https://cdn.kingstone.com.tw/book/images/product/20131/2013120272071/2013120272071b.jpg
Maya 動態特效白皮書(第二版),https://www.kingstone.com.tw//basic/2013120267664?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳崇瑋,上奇科技  ,9789862579077,https://cdn.kingstone.com.tw/book/images/product/20131/2013120267664/2013120267664b.jpg
Maya影像 Mental Ray 的藝術,https://www.kingstone.com.tw//basic/2013120257207?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,蘇懷旭,上奇科技  ,9789862578407,https://cdn.kingstone.com.tw/book/images/product/20131/2013120257207/2013120257207b.jpg
MAYA!原來AE也可以這樣玩 漂漂老師師資團教你如何成為動畫達人,https://www.kingstone.com.tw//basic/2013120248922?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,蔡雅琦、方宏彬,佳魁      ,9789865836511,https://cdn.kingstone.com.tw/book/images/product/20131/2013120248922/2013120248922b.jpg
Maya 黃金聖堂 ： 基礎建模/貼圖/打光一次搞定,https://www.kingstone.com.tw//basic/2013120238435?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,楊欣儒,上奇科技  ,9789862576953,https://cdn.kingstone.com.tw/book/images/product/20131/2013120238435/2013120238435b.jpg
Maya 絕學寶籙,https://www.kingstone.com.tw//basic/2013120011045?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,夢子工作室,上奇科技  ,9789862576465,https://cdn.kingstone.com.tw/book/images/product/20131/2013120011045/2013120011045b.jpg
Maya潛龍疊影燈光材質Mental Ray,https://www.kingstone.com.tw//basic/2014713379191?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳崇瑋,上奇科技  ,9789862576151,https://cdn.kingstone.com.tw/book/images/product/20147/2014713379191/2014713379191b.jpg
Maya職人嚴選講堂,https://www.kingstone.com.tw//basic/2014713379221?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳勝暉,上奇科技  ,9789862576168,https://cdn.kingstone.com.tw/book/images/product/20147/2014713379221/2014713379221b.jpg
Maya揭開Mental Ray材質與渲染的面紗,https://www.kingstone.com.tw//basic/2013120225572?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,陳路石,上奇科技  ,9789862575277,https://cdn.kingstone.com.tw/book/images/product/20131/2013120225572/2013120225572b.jpg
MAYA燈光與演算精粹：含Mudbox整合應用,https://www.kingstone.com.tw//basic/2013120215825?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,王以斌,佳魁      ,9789866007811,https://cdn.kingstone.com.tw/book/images/product/20131/2013120215825/2013120215825b.jpg
Maya 3D武打動畫超簡單輕鬆做,https://www.kingstone.com.tw//basic/2013120212619?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,白乃遠,上奇科技  ,9789862573846,https://cdn.kingstone.com.tw/book/images/product/20131/2013120212619/2013120212619b.jpg
MAYA專業建模技法實務解析,https://www.kingstone.com.tw//basic/2013120214583?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,夢德,佳魁      ,9789866007804,https://cdn.kingstone.com.tw/book/images/product/20131/2013120214583/2013120214583b.jpg
Maya動畫製作範例剖析,https://www.kingstone.com.tw//basic/2013120214613?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,盧俊諺,佳魁      ,9789866007798,https://cdn.kingstone.com.tw/book/images/product/20131/2013120214613/2013120214613b.jpg
Maya動態特效白皮書,https://www.kingstone.com.tw//basic/2013120209916?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳崇瑋,上奇科技  ,9789862573907,https://cdn.kingstone.com.tw/book/images/product/20131/2013120209916/2013120209916b.jpg
Maya影像 Mental Ray的藝術,https://www.kingstone.com.tw//basic/2013120210035?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,蘇懷旭,上奇科技  ,9789862573501,https://cdn.kingstone.com.tw/book/images/product/20131/2013120210035/2013120210035b.jpg
Maya 絕學寶籙,https://www.kingstone.com.tw//basic/2014713340122?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,夢果子工作室,上奇科技  ,9789862573709,https://cdn.kingstone.com.tw/book/images/product/20147/2014713340122/2014713340122b.jpg
遊戲藝術工場 - ZBrush + Maya次世代遊戲人物與機械全案解密,https://www.kingstone.com.tw//basic/2014713328434?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,秦衛明,上奇科技  ,9789862573105,https://cdn.kingstone.com.tw/book/images/product/20147/2014713328434/2014713328434b.jpg
Maya 建模 x 著色 x 動畫全應用 ( 適用 2012 ),https://www.kingstone.com.tw//basic/2014713321060?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,葉育恩,碁峰資訊  ,9789862763773,https://cdn.kingstone.com.tw/book/images/product/20147/2014713321060/2014713321060b.jpg
Maya火星風暴-極致靜態藝術講堂(超值附贈1-560分鐘影音教學檔),https://www.kingstone.com.tw//basic/2013120195370?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,呂睿丹/宋超/周矜汐,松崗      ,9789572239667,https://cdn.kingstone.com.tw/book/images/product/20131/2013120195370/2013120195370b.jpg
Maya2012終極密碼,https://www.kingstone.com.tw//basic/2013120194908?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,楊欣儒,上奇科技  ,9789862572634,https://cdn.kingstone.com.tw/book/images/product/20131/2013120194908/2013120194908b.jpg
Maya動畫製作範例剖析,https://www.kingstone.com.tw//basic/2013120188549?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,盧俊諺,佳魁      ,9789866143779,https://cdn.kingstone.com.tw/book/images/product/20131/2013120188549/2013120188549b.jpg
Maya潛龍疊影燈光材質Mental Ray,https://www.kingstone.com.tw//basic/2013120178762?zone=book&lid=book_class3_lfe&actid=book_class3_lfe,吳崇瑋,上奇科技  ,9789862571873,https://cdn.kingstone.com.tw/book/images/product/20131/2013120178762/2013120178762b.jpg
